"Date_ym","waveTime_mean","waveHs_mean","waveTp_mean","waveTa_mean","waveDp_mean","waveDm_mean","waveSxy_mean","waveSxx_mean","waveFlagPrimary_mean","waveTime_sd","waveHs_sd","waveTp_sd","waveTa_sd","waveDp_sd","waveDm_sd","waveSxy_sd","waveSxx_sd","waveFlagPrimary_sd","waveTime_min","waveHs_min","waveTp_min","waveTa_min","waveDp_min","waveDm_min","waveSxy_min","waveSxx_min","waveFlagPrimary_min","waveTime_max","waveHs_max","waveTp_max","waveTa_max","waveDp_max","waveDm_max","waveSxy_max","waveSxx_max","waveFlagPrimary_max"
"2000-01",2000-01-16 11:30:00,0.705145964499122,12.5719817244237,7.42028319233207,237.888392114127,243.674119680671,-0.00429119468582441,0.0311223303814048,1,773238.748806778,0.205603845744424,3.22870392877039,1.46233244479027,12.9336138316217,6.19984692276976,0.00554692827838827,0.0186863752325915,0,2000-01-01,0.382056087255478,4,4.32880401611328,216.749557495117,228.243316650391,-0.0389919243752956,0.00910358037799597,1,2000-01-31 23:00:00,1.65170669555664,22.2222213745117,12.016939163208,279.3583984375,258.452331542969,0.0098832082003355,0.134760722517967,1
"2000-02",2000-02-15 11:30:00,1.05722718923941,13.3943691681856,8.33338133617379,234.021221358201,239.069445050996,-0.00392905442641806,0.0796324351310045,1,723355.637737315,0.361587009666179,2.77413176642121,1.58838553888225,9.28371918323787,6.09639514007658,0.00949797515575455,0.0705120620065398,0,2000-02-01,0.442579120397568,4.81927728652954,4.75113010406494,206.514282226562,214.48811340332,-0.0963846072554588,0.0141897313296795,1,2000-02-29 23:00:00,4.11011171340942,22.2222213745117,12.8482074737549,267.438629150391,249.790542602539,0.0467740222811699,1.29526078701019,1
"2000-03",2000-03-16 11:30:00,0.957880306404124,14.8149829487006,8.34425401238985,231.268294697423,239.612035529844,-0.00392859899383297,0.062264115448981,1,773238.748806778,0.234871896070247,2.48847663665428,1.21860697181735,7.79130816451548,4.81470541879748,0.00620548709519391,0.0312729890359636,0,2000-03-01,0.600737690925598,5.55555534362793,5.10088062286377,201.332977294922,218.340850830078,-0.0376183092594147,0.02370317094028,1,2000-03-31 23:00:00,2.36794447898865,22.2222213745117,11.9140548706055,259.753936767578,251.499557495117,0.0374346300959587,0.263493597507477,1
"2000-04",2000-04-15 23:30:00,0.860250942094459,14.5337163307932,7.26637515187263,224.12628244612,237.517251226637,-0.00160108711470646,0.0460470565911641,1,748297.19406896,0.209276364408617,2.50150048716318,1.07709831474739,8.22297757359639,6.14416074550111,0.0058345719068731,0.0237395763823475,0,2000-04-01,0.491315811872482,4.81927728652954,4.64420413970947,208.093521118164,217.44970703125,-0.0345062762498856,0.013097039423883,1,2000-04-30 23:00:00,1.62357378005981,20,10.5106649398804,276.269165039062,251.631011962891,0.0324268564581871,0.169308960437775,1
"2000-05",2000-05-16 11:30:00,1.01503163725138,15.0492659220772,8.64964514861825,228.243727563017,237.006446606626,-0.000735610504672036,0.0719016809056523,1,773238.748806778,0.251295243730378,3.52258836183473,1.98361388375753,13.4033076837627,9.25878752471549,0.0116245514977602,0.0388486061668523,0,2000-05-01,0.562403082847595,6.25,5.46018838882446,215.03581237793,217.27734375,-0.0489276684820652,0.0194457229226828,1,2000-05-31 23:00:00,1.86883294582367,22.2222213745117,14.1535539627075,265.289001464844,254.605072021484,0.0407441817224026,0.263839721679688,1
"2000-06",2000-06-15 23:30:00,0.710560106490221,14.5652996845378,7.33284434623188,226.115717025333,236.592599578434,-0.000600974128289017,0.0312753556736021,1,748297.19406896,0.140838184370101,2.69379430656377,1.30461326919266,9.66891062193135,6.16470410718961,0.00343862317288732,0.0127742254822959,0,2000-06-01,0.406089723110199,7.14285707473755,4.77958345413208,210.733825683594,223.838180541992,-0.0150653710588813,0.0081219095736742,1,2000-06-30 23:00:00,1.11288547515869,20,12.8252277374268,267.642669677734,252.472259521484,0.0112410159781575,0.0849036052823067,1
"2000-07",2000-07-16 11:30:00,0.707769954829447,13.4469932310684,6.69408032246815,228.862038159114,238.117178972306,-0.00107506806429167,0.0285148292333664,1,773238.748806778,0.147312583652063,3.73043978931802,1.31251717149686,17.4793134385205,7.96619746962425,0.00395447587877954,0.0145870394184724,0,2000-07-01,0.394695341587067,4.81927728652954,4.36423015594482,210.998733520508,223.147903442383,-0.0111546311527491,0.00764981610700488,1,2000-07-31 23:00:00,1.39820146560669,20,11.4127321243286,274.421356201172,255.426528930664,0.0237572882324457,0.145952150225639,1
"2000-08",2000-08-16 11:30:00,0.746952909399425,14.1793162754146,7.8318553536169,223.860211189844,233.527271912688,0.00260871801987945,0.037699313799385,1,773238.748806778,0.190630293543332,2.93923036220135,2.22970338730721,11.7563279862331,8.07822177244079,0.00636287382396463,0.0277704154716546,0,2000-08-01,0.434591025114059,4.81927728652954,4.43012952804565,205.628875732422,219.042083740234,-0.00879883393645287,0.0103172725066543,1,2000-08-31 23:00:00,1.84697246551514,20,14.4901142120361,275.219512939453,255.272842407227,0.0481918603181839,0.277355849742889,1
"2000-09",2000-09-15 23:30:00,0.715426371619105,14.5486249476671,6.91358982463678,222.202951634725,234.946656275855,0.000745834293909758,0.0303997634180511,1,748297.19406896,0.146063469308732,2.79291149518439,1.25972305283403,7.97792341703,7.57401840949188,0.00447125506644239,0.0152999751286778,0,2000-09-01,0.446027815341949,4,4.39243364334106,202.527770996094,210.568511962891,-0.00856016762554646,0.00999838765710592,1,2000-09-30 23:00:00,1.40414178371429,20,10.6958045959473,279.807312011719,252.013763427734,0.0245005022734404,0.128726810216904,1
"2000-10",2000-10-16 11:30:00,0.738835258870035,14.0141403166197,7.80072456739282,226.820019248224,235.510538072484,-0.000528877840735453,0.0348737239106608,1,773238.748806778,0.169060271251156,2.22664123760584,1.57777274308942,10.0727812397265,6.34509099950659,0.00436075754101958,0.0153461210106273,0,2000-10-01,0.448333114385605,4.81927728652954,4.65305519104004,211.055450439453,222.994033813477,-0.0244346559047699,0.0115132657811046,1,2000-10-31 23:00:00,1.39944291114807,20,12.5994529724121,277.619812011719,252.63671875,0.0121130142360926,0.100731514394283,1
