"Date_ym","waveTime_mean","waveHs_mean","waveTp_mean","waveTa_mean","waveDp_mean","waveDm_mean","waveSxy_mean","waveSxx_mean","waveFlagPrimary_mean","waveTime_sd","waveHs_sd","waveTp_sd","waveTa_sd","waveDp_sd","waveDm_sd","waveSxy_sd","waveSxx_sd","waveFlagPrimary_sd","waveTime_min","waveHs_min","waveTp_min","waveTa_min","waveDp_min","waveDm_min","waveSxy_min","waveSxx_min","waveFlagPrimary_min","waveTime_max","waveHs_max","waveTp_max","waveTa_max","waveDp_max","waveDm_max","waveSxy_max","waveSxx_max","waveFlagPrimary_max"
"2000-01",2000-01-16 11:30:00,0.796550692970394,13.0836505757224,7.81375951459331,261.220138127317,NA,NA,NA,1,773238.748806778,0.2657734105752,3.14215429729792,1.81170220858172,5.29721921344681,NA,NA,NA,0,2000-01-01,0.456002980470657,4.81927728652954,4.68764114379883,244.105346679688,NA,NA,NA,1,2000-01-31 23:00:00,2.32931351661682,22.2222213745117,15.7755718231201,278.521179199219,NA,NA,NA,1
"2000-02",2000-02-15 11:30:00,1.38876534689261,14.3470462453776,9.40817604873372,262.02105982331,NA,NA,NA,1,723355.637737315,0.481157114216231,2.38389026111059,1.71155289788289,6.66379816724091,NA,NA,NA,0,2000-02-01,0.585265100002289,7.14285707473755,5.99131870269775,228.135192871094,NA,NA,NA,1,2000-02-29 23:00:00,3.44684648513794,22.2222213745117,14.2548580169678,272.708953857422,NA,NA,NA,1
"2000-03",2000-03-16 11:30:00,1.14195754778802,14.8014916944247,8.98332981864611,260.738525281927,NA,NA,NA,1,773238.748806778,0.277524877587255,2.32125740624329,1.48120195816288,3.07411372743685,NA,NA,NA,0,2000-03-01,0.712864637374878,7.14285707473755,5.7785758972168,244.25048828125,NA,NA,NA,1,2000-03-31 23:00:00,2.23880314826965,22.2222213745117,13.6280670166016,271.196380615234,NA,NA,NA,1
"2000-04",2000-04-15 23:30:00,0.942171488768525,12.2635314044025,6.83602367791865,258.06202697542,NA,NA,NA,1,748297.19406896,0.263429844745978,2.97333974682428,0.964041214287288,8.65378175816089,NA,NA,NA,0,2000-04-01,0.450481742620468,4.81927728652954,4.81461524963379,228.972259521484,NA,NA,NA,1,2000-04-30 23:00:00,1.9415123462677,18.1818180084229,11.3910274505615,277.350250244141,NA,NA,NA,1
"2000-05",2000-05-16 11:30:00,0.94049022896716,12.9713913796409,7.21204245750622,256.809241122584,NA,NA,NA,1,773238.748806778,0.243678098444089,3.75757040080321,0.958704576906697,10.0603566101083,NA,NA,NA,0,2000-05-01,0.481178134679794,4.81927728652954,5.18545627593994,238.404693603516,NA,NA,NA,1,2000-05-31 23:00:00,1.90261650085449,22.2222213745117,10.7913522720337,277.961059570312,NA,NA,NA,1
"2000-06",2000-06-15 23:30:00,0.714449088399609,12.6061039471626,6.57724438647429,256.165433656904,NA,NA,NA,1,748297.19406896,0.168417746504167,3.23006119935705,0.932900466758736,9.75733560028312,NA,NA,NA,0,2000-06-01,0.426145970821381,4.81927728652954,4.52698135375977,241.857025146484,NA,NA,NA,1,2000-06-30 23:00:00,1.27880072593689,20,9.08041763305664,285.096069335938,NA,NA,NA,1
"2000-07",2000-07-16 11:30:00,0.706138741417277,11.4163262078839,5.76565066207481,256.524595539544,NA,NA,NA,1,773238.748806778,0.165119349271486,3.94713527446863,0.648502753069313,12.2410444676555,NA,NA,NA,0,2000-07-01,0.372013628482819,4,3.98249077796936,239.311401367188,NA,NA,NA,1,2000-07-31 23:00:00,1.09545004367828,20,7.38676023483276,279.776702880859,NA,NA,NA,1
"2000-08",2000-08-16 11:30:00,0.69260502657102,12.2875389270244,6.31714019403663,253.567525972346,NA,NA,NA,1,773238.748806778,0.119975800006914,3.76124630887782,1.03414441751336,13.0137235072845,NA,NA,NA,0,2000-08-01,0.412425458431244,4.81927728652954,4.23581409454346,237.002288818359,NA,NA,NA,1,2000-08-31 23:00:00,1.10007917881012,20,9.07944488525391,281.466766357422,NA,NA,NA,1
"2000-09",2000-09-15 23:30:00,0.659304331971539,12.8828419827753,6.1368283679088,252.00873840332,NA,NA,NA,1,748297.19406896,0.12836686902915,3.53519491956795,1.20115692001533,11.1775963275285,NA,NA,NA,0,2000-09-01,0.342735230922699,4,4.18711996078491,228.256088256836,NA,NA,NA,1,2000-09-30 23:00:00,1.10181188583374,22.2222213745117,10.219051361084,295.012878417969,NA,NA,NA,1
"2000-10",2000-10-16 11:30:00,0.759451112295351,13.6298649275816,7.20722011539244,255.515374206215,NA,NA,NA,1,773238.748806778,0.216790419262567,2.22773598916161,1.39448220840466,7.63891186816319,NA,NA,NA,0,2000-10-01,0.400991231203079,4,4.51213026046753,241.140777587891,NA,NA,NA,1,2000-10-31 23:00:00,1.4677152633667,20,14.0097770690918,289.160278320312,NA,NA,NA,1
"2000-11",2000-11-15 23:30:00,0.859280483213564,14.4229324695137,8.1041880525483,259.284727200402,NA,NA,NA,1,748297.19406896,0.223013756592459,2.68286184103682,1.71002531248199,6.58589380389986,NA,NA,NA,0,2000-11-01,0.443824976682663,5.55555534362793,5.05135726928711,241.810791015625,NA,NA,NA,1,2000-11-30 23:00:00,1.56597018241882,20,12.1832513809204,286.474517822266,NA,NA,NA,1
