"Date_ym","waveTime_mean","waveHs_mean","waveTp_mean","waveTa_mean","waveDp_mean","waveDm_mean","waveSxy_mean","waveSxx_mean","waveFlagPrimary_mean","waveTime_sd","waveHs_sd","waveTp_sd","waveTa_sd","waveDp_sd","waveDm_sd","waveSxy_sd","waveSxx_sd","waveFlagPrimary_sd","waveTime_min","waveHs_min","waveTp_min","waveTa_min","waveDp_min","waveDm_min","waveSxy_min","waveSxx_min","waveFlagPrimary_min","waveTime_max","waveHs_max","waveTp_max","waveTa_max","waveDp_max","waveDm_max","waveSxy_max","waveSxx_max","waveFlagPrimary_max"
"2000-01",2000-01-16 02:31:45,0.318620946530918,14.4466244181411,8.96698536227664,182.710502161495,NA,NA,NA,1,772163.130495254,0.0856770545787686,1.9129091360743,2.04112981951032,4.37469598695807,NA,NA,NA,0,2000-01-01,0.194021329283714,6.25,4.51351499557495,172.096130371094,NA,NA,NA,1,2000-01-31 23:00:00,0.776352047920227,22.2222213745117,13.8453063964844,221.038604736328,NA,NA,NA,1
"2000-02",2000-02-15 20:24:05,0.548759575448506,13.9843522082855,9.71807499247838,182.165170100075,NA,NA,NA,1,686246.426116358,0.218179032526105,2.35321347112526,2.44695355508055,6.33186177621724,NA,NA,NA,0,2000-02-01,0.244369223713875,4,3.80629467964172,157.058212280273,NA,NA,NA,1,2000-02-29 23:00:00,1.55464959144592,20,13.744140625,199.104995727539,NA,NA,NA,1
"2000-03",2000-03-16 16:58:40,0.520396472068598,15.4169833810012,9.70432615333444,181.910023742829,NA,NA,NA,1,779883.255967546,0.106655609329125,1.74312776260138,1.55766960811521,4.12419652300231,NA,NA,NA,0,2000-03-01,0.307006478309631,6.25,4.68496894836426,158.725280761719,NA,NA,NA,1,2000-03-31 23:00:00,1.29506528377533,22.2222213745117,13.1400146484375,195.904235839844,NA,NA,NA,1
"2000-04",2000-04-15 23:30:00,0.593337557154397,14.7236263860597,8.30600257502662,179.8205957773,NA,NA,NA,1,748297.19406896,0.181329013912255,2.16581850017487,1.54800511204554,4.01569389378428,NA,NA,NA,0,2000-04-01,0.344094574451447,6.25,5.29931497573853,170.91535949707,NA,NA,NA,1,2000-04-30 23:00:00,1.51448953151703,20,13.4379167556763,203.930633544922,NA,NA,NA,1
"2000-05",2000-05-16 11:30:00,0.676268028684201,16.1958646361546,9.41770545026307,179.066699883246,NA,NA,NA,1,773238.748806778,0.20181088087438,1.82643095844497,2.424823543316,3.07775919795836,NA,NA,NA,0,2000-05-01,0.375079542398453,12.3001232147217,5.19301748275757,170.800796508789,NA,NA,NA,1,2000-05-31 23:00:00,1.32702887058258,22.2222213745117,15.543833732605,189.622802734375,NA,NA,NA,1
"2000-06",2000-06-15 23:30:00,0.484325635375248,14.9640204919709,8.11879770570331,179.75572142495,NA,NA,NA,1,748297.19406896,0.117900416058241,1.75627964409814,1.74967981940205,3.22316026334999,NA,NA,NA,0,2000-06-01,0.259372174739838,11.1111106872559,4.46802377700806,171.282440185547,NA,NA,NA,1,2000-06-30 23:00:00,0.975949943065643,20,13.3965482711792,189.566253662109,NA,NA,NA,1
"2000-07",2000-07-16 11:30:00,0.490013820882286,14.7419679487905,7.83462478127531,178.566423750436,NA,NA,NA,1,773238.748806778,0.114365553747711,1.57497149527019,2.11501130288254,3.00581435233051,NA,NA,NA,0,2000-07-01,0.289200812578201,6.25,4.32306051254272,170.909057617188,NA,NA,NA,1,2000-07-31 23:00:00,1.1381950378418,20,13.5361757278442,219.850601196289,NA,NA,NA,1
"2000-08",2000-08-16 11:30:00,0.580722387215143,14.5551839174763,8.90311913272386,179.041228766082,NA,NA,NA,1,773238.748806778,0.226367879663984,1.95316572513184,2.57484026370578,3.24284605983626,NA,NA,NA,0,2000-08-01,0.288042008876801,7.14285707473755,4.32677268981934,170.729522705078,NA,NA,NA,1,2000-08-31 23:00:00,1.56664395332336,20,15.4503726959229,211.545455932617,NA,NA,NA,1
"2000-09",2000-09-15 23:30:00,0.518625684947603,14.3795124586423,8.05920549372832,178.691554578145,NA,NA,NA,1,748297.19406896,0.159412012776492,2.379979591167,1.5352429494021,4.58837876786391,NA,NA,NA,0,2000-09-01,0.284775018692017,8.16326522827148,4.36410570144653,155.788024902344,NA,NA,NA,1,2000-09-30 23:00:00,1.49190711975098,20,12.6979274749756,193.110809326172,NA,NA,NA,1
"2000-10",2000-10-16 11:30:00,0.49809542621576,14.3698571799904,8.24058982858094,180.314727721676,NA,NA,NA,1,773238.748806778,0.0973869661661018,1.41899913878381,1.71854278744642,3.57312422089232,NA,NA,NA,0,2000-10-01,0.275523900985718,11.1111106872559,4.77535247802734,170.981170654297,NA,NA,NA,1,2000-10-31 23:00:00,0.905363202095032,20,12.287712097168,194.943878173828,NA,NA,NA,1
"2000-11",2000-11-15 23:30:00,0.467854773362892,15.0735936190022,8.48730344884925,182.24855559667,NA,NA,NA,1,748297.19406896,0.105759840555309,1.96371344763031,1.49532531674937,5.31142871125727,NA,NA,NA,0,2000-11-01,0.20825070142746,6.25,5.1107029914856,171.01789855957,NA,NA,NA,1,2000-11-30 23:00:00,0.826640963554382,20,12.3160181045532,218.942581176758,NA,NA,NA,1
"2000-12",2000-12-16 11:30:00,0.447800243025025,13.8696704690815,8.76028715795086,185.781426661502,NA,NA,NA,1,773238.748806778,0.111225572822573,2.0292874345315,1.61604609222784,6.50663780992712,NA,NA,NA,0,2000-12-01,0.250450938940048,6.25,4.65522050857544,171.264114379883,NA,NA,NA,1,2000-12-31 23:00:00,0.94442754983902,20,13.7040176391602,220.921813964844,NA,NA,NA,1
