"Date_ym","waveTime_mean","waveHs_mean","waveTp_mean","waveTa_mean","waveDp_mean","waveDm_mean","waveSxy_mean","waveSxx_mean","waveFlagPrimary_mean","waveTime_sd","waveHs_sd","waveTp_sd","waveTa_sd","waveDp_sd","waveDm_sd","waveSxy_sd","waveSxx_sd","waveFlagPrimary_sd","waveTime_min","waveHs_min","waveTp_min","waveTa_min","waveDp_min","waveDm_min","waveSxy_min","waveSxx_min","waveFlagPrimary_min","waveTime_max","waveHs_max","waveTp_max","waveTa_max","waveDp_max","waveDm_max","waveSxy_max","waveSxx_max","waveFlagPrimary_max"
"2000-03",2000-03-26 07:56:27,0.340000160645401,13.3788622229287,5.83423341827446,196.280405794637,202.559263422248,-0.0012007155593095,0.00640379738264058,1,343463.21293184,0.0793120610893814,2.70962917118646,1.13189210219408,12.1761475638253,3.46226354758218,0.00100557276639027,0.00369110640695981,0,2000-03-16 21:00:00,0.203220367431641,6.25,3.89624166488647,183.696044921875,191.748275756836,-0.00590575067326427,0.00232410291209817,1,2000-03-31 23:00:00,0.63454532623291,20,10.2386512756348,220.131958007812,211.896820068359,0.000116311181045603,0.0228696092963219,1
"2000-04",2000-04-15 20:06:43,0.433947146416188,11.3341859067167,5.33371675396347,201.180139215143,204.688670168887,-0.00193925040566337,0.0107271783516506,1,745349.339010085,0.206577806574405,3.47193020027693,0.711454690267324,13.2244437028354,5.17557707793611,0.00211881513340845,0.0139684355671266,0,2000-04-01 00:00:00,0.199204474687576,4,3.76541590690613,176.350769042969,185.773483276367,-0.0168237593024969,0.00173499481752515,1,2000-04-30 23:00:00,1.62880623340607,18.1818180084229,8.24842357635498,234.664978027344,216.37663269043,0.00889205560088158,0.119964256882668,1
"2000-05",2000-05-16 11:48:26,0.405735433560467,11.7793148308992,5.60501245650298,201.435257217463,204.282492833979,-0.00178930268209436,0.00821701343942122,1,781892.963218579,0.0889224911566669,3.64981363753863,0.6998061479078,13.2107045644319,6.07390856233001,0.00142066146041612,0.00355277314198192,0,2000-05-01 00:00:00,0.227776601910591,4,4.04633140563965,182.990509033203,184.603652954102,-0.00925125647336245,0.00253112218342721,1,2000-05-31 23:00:00,0.788080155849457,22.2222213745117,9.57815647125244,232.515533447266,216.205749511719,0.00128865684382617,0.0282089505344629,1
"2000-06",2000-06-15 21:50:13,0.336271441454111,12.2240453407376,5.24387027962263,198.753555979174,203.953472957168,-0.00125201370068257,0.00550289177731069,1,744978.598317021,0.0880320684564479,3.20887010593299,0.780130071465806,13.3525266483206,5.29695192946408,0.00116912261907299,0.00292277419059283,0,2000-06-01 00:00:00,0.187054038047791,3.20000004768372,3.59928393363953,182.818618774414,187.110931396484,-0.0105131547898054,0.00149645830970258,1,2000-06-30 23:00:00,0.835466384887695,18.1818180084229,9.27085494995117,235.365463256836,217.148818969727,0.000443162192823365,0.0290841795504093,1
"2000-07",2000-07-19 11:27:57,0.340206142387696,11.1371663212074,5.08989198637514,201.552333162306,205.549731403975,-0.00124935562969026,0.00521488956734374,1,676592.616498437,0.0670860545596328,3.89019154704784,0.621164433173524,14.9329739827498,4.77241731270346,0.000753626750425242,0.00199451145549547,0,2000-07-01 00:00:00,0.176939249038696,3.20000004768372,3.55207872390747,149.356079101562,182.028366088867,-0.00392666319385171,0.0017053788760677,1,2000-07-31 23:00:00,0.531433761119843,16.6666679382324,6.84247016906738,231.850769042969,215.851776123047,0.00198994507081807,0.0122020989656448,1
"2000-08",2000-08-16 16:02:01,0.34219609413634,12.3679887053633,5.55435660512709,196.479698101136,201.980779526933,-0.00095417306562341,0.00593709556289897,1,770160.916721474,0.0549869882027655,3.2493494380014,0.923415339285128,13.2203182655136,5.19715091746882,0.000642006930392683,0.0022324711794876,0,2000-08-01 00:00:00,0.182173833250999,4,3.57764959335327,182.773178100586,185.771423339844,-0.00278746616095304,0.00168101640883833,1,2000-08-31 23:00:00,0.503664553165436,18.1818180084229,8.42650604248047,234.283111572266,216.126922607422,0.00149056920781732,0.0127041591331363,1
"2000-09",2000-09-16 03:03:33,0.346527877090208,11.1820365486263,5.27110931798532,196.926610772601,200.533307238677,-0.000779981608960556,0.00646724066678913,1,754111.664784927,0.113055786226956,3.46101725922715,0.898549439194729,13.1073196802371,6.16680262550036,0.000945259680743228,0.00732851915152494,0,2000-09-01 00:00:00,0.200384095311165,3.20000004768372,3.47240161895752,181.536987304688,182.912155151367,-0.0116641046479344,0.00180166878271848,1,2000-09-30 23:00:00,1.22759985923767,18.1818180084229,8.94332599639893,235.154541015625,215.366439819336,0.0031661014072597,0.0904817059636116,1
"2000-10",2000-10-16 11:30:00,0.354138842807235,11.8522035729501,5.53498327539813,200.101258390693,203.675934535201,-0.00131947612257834,0.00626563687878077,1,773360.045237469,0.092240202734262,3.03743381823746,0.967549622478996,13.4712847914693,4.86618370575176,0.00124362861551165,0.00323598920796058,0,2000-10-01 00:00:00,0.203220099210739,3.20000004768372,3.63723373413086,156.958282470703,187.841690063477,-0.00904851499944925,0.00200068578124046,1,2000-10-31 23:00:00,0.783231675624847,18.1818180084229,9.40919780731201,234.314376831055,218.744873046875,0.000553335703443736,0.0263160411268473,1
"2000-11",2000-11-15 23:30:00,0.340850722893245,11.7230086046237,5.71666495314351,201.564354133606,204.632132869297,-0.00143065662805668,0.00603711009041743,1,748418.492259077,0.109413546151336,3.34951301092158,0.956721343505489,13.2956241754704,4.3135573405096,0.00137995143124684,0.00378613618976805,0,2000-11-01 00:00:00,0.143963828682899,4,3.8251588344574,182.994613647461,191.405014038086,-0.009140620008111,0.00115388282574713,1,2000-11-30 23:00:00,0.774334371089935,18.1818180084229,8.70923709869385,232.809906005859,217.671264648438,0.00015693050227128,0.0254652518779039,1
"2000-12",2000-12-16 11:30:00,0.342210398986936,11.2836926130838,6.60317481034118,203.840895423752,203.988916793604,-0.00152360389997665,0.00708516302973776,1,773360.045237469,0.116577057968804,2.91304257034646,1.32783163439791,12.1972697853394,4.66366077658326,0.00159559507274558,0.00511450913732978,0,2000-12-01 00:00:00,0.156879276037216,4,4.2710542678833,183.398468017578,189.390121459961,-0.0140478815883398,0.00137189321685582,1,2000-12-31 23:00:00,0.932762086391449,16.6666679382324,10.4612169265747,233.432174682617,219.568023681641,0.000145450831041671,0.0423217415809631,1
