"Agency","Site_no","Date","Discharge_mean_cfs","DataValQualCode"
"USGS",11046000,"1984-05-15",3,"A"
"USGS",11046000,"1984-05-16",2.6,"A"
"USGS",11046000,"1984-05-17",0.6,"A"
"USGS",11046000,"1984-05-18",0,"A"
"USGS",11046000,"1984-05-19",0,"A"
"USGS",11046000,"1984-05-20",0,"A"
"USGS",11046000,"1984-05-21",0,"A"
"USGS",11046000,"1984-05-22",0,"A"
"USGS",11046000,"1984-05-23",0,"A"
"USGS",11046000,"1984-05-24",0,"A"
"USGS",11046000,"1984-05-25",0,"A"
"USGS",11046000,"1984-05-26",0,"A"
"USGS",11046000,"1984-05-27",0,"A"
"USGS",11046000,"1984-05-28",0,"A"
"USGS",11046000,"1984-05-29",0,"A"
"USGS",11046000,"1984-05-30",0,"A"
"USGS",11046000,"1984-05-31",0,"A"
"USGS",11046000,"1984-06-01",0,"A"
"USGS",11046000,"1984-06-02",0,"A"
"USGS",11046000,"1984-06-03",0,"A"
"USGS",11046000,"1984-06-04",0,"A"
"USGS",11046000,"1984-06-05",0,"A"
"USGS",11046000,"1984-06-06",0,"A"
"USGS",11046000,"1984-06-07",0,"A"
"USGS",11046000,"1984-06-08",0,"A"
"USGS",11046000,"1984-06-09",0,"A"
"USGS",11046000,"1984-06-10",0,"A"
"USGS",11046000,"1984-06-11",0,"A"
"USGS",11046000,"1984-06-12",0,"A"
"USGS",11046000,"1984-06-13",0,"A"
"USGS",11046000,"1984-06-14",0,"A"
"USGS",11046000,"1984-06-15",0,"A"
"USGS",11046000,"1984-06-16",0,"A"
"USGS",11046000,"1984-06-17",0,"A"
"USGS",11046000,"1984-06-18",0,"A"
"USGS",11046000,"1984-06-19",0,"A"
"USGS",11046000,"1984-06-20",0,"A"
"USGS",11046000,"1984-06-21",0,"A"
"USGS",11046000,"1984-06-22",0,"A"
"USGS",11046000,"1984-06-23",0,"A"
"USGS",11046000,"1984-06-24",0,"A"
"USGS",11046000,"1984-06-25",0,"A"
"USGS",11046000,"1984-06-26",0,"A"
"USGS",11046000,"1984-06-27",0,"A"
"USGS",11046000,"1984-06-28",0,"A"
"USGS",11046000,"1984-06-29",0,"A"
"USGS",11046000,"1984-06-30",0,"A"
"USGS",11046000,"1984-07-01",0,"A"
"USGS",11046000,"1984-07-02",0,"A"
"USGS",11046000,"1984-07-03",0,"A"
"USGS",11046000,"1984-07-04",0,"A"
"USGS",11046000,"1984-07-05",0,"A"
"USGS",11046000,"1984-07-06",0,"A"
"USGS",11046000,"1984-07-07",0,"A"
"USGS",11046000,"1984-07-08",0,"A"
"USGS",11046000,"1984-07-09",0,"A"
"USGS",11046000,"1984-07-10",0,"A"
"USGS",11046000,"1984-07-11",0,"A"
"USGS",11046000,"1984-07-12",0,"A"
"USGS",11046000,"1984-07-13",0,"A"
"USGS",11046000,"1984-07-14",0,"A"
"USGS",11046000,"1984-07-15",0,"A"
"USGS",11046000,"1984-07-16",0,"A"
"USGS",11046000,"1984-07-17",0,"A"
"USGS",11046000,"1984-07-18",0,"A"
"USGS",11046000,"1984-07-19",0,"A"
"USGS",11046000,"1984-07-20",0,"A"
"USGS",11046000,"1984-07-21",0,"A"
"USGS",11046000,"1984-07-22",0,"A"
"USGS",11046000,"1984-07-23",0,"A"
"USGS",11046000,"1984-07-24",0,"A"
"USGS",11046000,"1984-07-25",0,"A"
"USGS",11046000,"1984-07-26",0,"A"
"USGS",11046000,"1984-07-27",0,"A"
"USGS",11046000,"1984-07-28",0,"A"
"USGS",11046000,"1984-07-29",0,"A"
"USGS",11046000,"1984-07-30",0,"A"
"USGS",11046000,"1984-07-31",0,"A"
"USGS",11046000,"1984-08-01",0,"A"
"USGS",11046000,"1984-08-02",0,"A"
"USGS",11046000,"1984-08-03",0,"A"
"USGS",11046000,"1984-08-04",0,"A"
"USGS",11046000,"1984-08-05",0,"A"
"USGS",11046000,"1984-08-06",0,"A"
"USGS",11046000,"1984-08-07",0,"A"
"USGS",11046000,"1984-08-08",0,"A"
"USGS",11046000,"1984-08-09",0,"A"
"USGS",11046000,"1984-08-10",0,"A"
"USGS",11046000,"1984-08-11",0,"A"
"USGS",11046000,"1984-08-12",0,"A"
"USGS",11046000,"1984-08-13",0,"A"
"USGS",11046000,"1984-08-14",0,"A"
"USGS",11046000,"1984-08-15",0,"A"
"USGS",11046000,"1984-08-16",0,"A"
"USGS",11046000,"1984-08-17",0,"A"
"USGS",11046000,"1984-08-18",0,"A"
"USGS",11046000,"1984-08-19",0,"A"
"USGS",11046000,"1984-08-20",0,"A"
"USGS",11046000,"1984-08-21",0,"A"
"USGS",11046000,"1984-08-22",0,"A"
"USGS",11046000,"1984-08-23",0,"A"
"USGS",11046000,"1984-08-24",0,"A"
"USGS",11046000,"1984-08-25",0,"A"
"USGS",11046000,"1984-08-26",0,"A"
"USGS",11046000,"1984-08-27",0,"A"
"USGS",11046000,"1984-08-28",0,"A"
"USGS",11046000,"1984-08-29",0,"A"
"USGS",11046000,"1984-08-30",0,"A"
"USGS",11046000,"1984-08-31",0,"A"
"USGS",11046000,"1984-09-01",0,"A"
"USGS",11046000,"1984-09-02",0,"A"
"USGS",11046000,"1984-09-03",0,"A"
"USGS",11046000,"1984-09-04",0,"A"
"USGS",11046000,"1984-09-05",0,"A"
"USGS",11046000,"1984-09-06",0,"A"
"USGS",11046000,"1984-09-07",0,"A"
"USGS",11046000,"1984-09-08",0,"A"
"USGS",11046000,"1984-09-09",0,"A"
"USGS",11046000,"1984-09-10",0,"A"
"USGS",11046000,"1984-09-11",0,"A"
"USGS",11046000,"1984-09-12",0,"A"
"USGS",11046000,"1984-09-13",0,"A"
"USGS",11046000,"1984-09-14",0,"A"
"USGS",11046000,"1984-09-15",0,"A"
"USGS",11046000,"1984-09-16",0,"A"
"USGS",11046000,"1984-09-17",0,"A"
"USGS",11046000,"1984-09-18",0,"A"
"USGS",11046000,"1984-09-19",0,"A"
"USGS",11046000,"1984-09-20",0,"A"
"USGS",11046000,"1984-09-21",0,"A"
"USGS",11046000,"1984-09-22",0,"A"
"USGS",11046000,"1984-09-23",0,"A"
"USGS",11046000,"1984-09-24",0,"A"
"USGS",11046000,"1984-09-25",0,"A"
"USGS",11046000,"1984-09-26",0,"A"
"USGS",11046000,"1984-09-27",0,"A"
"USGS",11046000,"1984-09-28",0,"A"
"USGS",11046000,"1984-09-29",0,"A"
"USGS",11046000,"1984-09-30",0,"A"
"USGS",11046000,"1984-10-01",0,"A"
"USGS",11046000,"1984-10-02",0,"A"
"USGS",11046000,"1984-10-03",0,"A"
"USGS",11046000,"1984-10-04",0,"A"
"USGS",11046000,"1984-10-05",0,"A"
"USGS",11046000,"1984-10-06",0,"A"
"USGS",11046000,"1984-10-07",0,"A"
"USGS",11046000,"1984-10-08",0,"A"
"USGS",11046000,"1984-10-09",0,"A"
"USGS",11046000,"1984-10-10",0,"A"
"USGS",11046000,"1984-10-11",0,"A"
"USGS",11046000,"1984-10-12",0,"A"
"USGS",11046000,"1984-10-13",0,"A"
"USGS",11046000,"1984-10-14",0,"A"
"USGS",11046000,"1984-10-15",0,"A"
"USGS",11046000,"1984-10-16",0,"A"
"USGS",11046000,"1984-10-17",0,"A"
"USGS",11046000,"1984-10-18",0,"A"
"USGS",11046000,"1984-10-19",0,"A"
"USGS",11046000,"1984-10-20",0,"A"
"USGS",11046000,"1984-10-21",0,"A"
"USGS",11046000,"1984-10-22",0,"A"
"USGS",11046000,"1984-10-23",0,"A"
"USGS",11046000,"1984-10-24",0,"A"
"USGS",11046000,"1984-10-25",0,"A"
"USGS",11046000,"1984-10-26",0,"A"
"USGS",11046000,"1984-10-27",0,"A"
"USGS",11046000,"1984-10-28",0,"A"
"USGS",11046000,"1984-10-29",0,"A"
"USGS",11046000,"1984-10-30",0,"A"
"USGS",11046000,"1984-10-31",0,"A"
"USGS",11046000,"1984-11-01",0,"A"
"USGS",11046000,"1984-11-02",0,"A"
"USGS",11046000,"1984-11-03",0,"A"
"USGS",11046000,"1984-11-04",0,"A"
"USGS",11046000,"1984-11-05",0,"A"
"USGS",11046000,"1984-11-06",0,"A"
"USGS",11046000,"1984-11-07",0,"A"
"USGS",11046000,"1984-11-08",0,"A"
"USGS",11046000,"1984-11-09",0,"A"
"USGS",11046000,"1984-11-10",0,"A"
"USGS",11046000,"1984-11-11",0,"A"
"USGS",11046000,"1984-11-12",0,"A"
"USGS",11046000,"1984-11-13",0,"A"
"USGS",11046000,"1984-11-14",0,"A"
"USGS",11046000,"1984-11-15",0,"A"
"USGS",11046000,"1984-11-16",0,"A"
"USGS",11046000,"1984-11-17",0,"A"
"USGS",11046000,"1984-11-18",0,"A"
"USGS",11046000,"1984-11-19",0,"A"
"USGS",11046000,"1984-11-20",0,"A"
"USGS",11046000,"1984-11-21",0,"A"
"USGS",11046000,"1984-11-22",0,"A"
"USGS",11046000,"1984-11-23",0,"A"
"USGS",11046000,"1984-11-24",0,"A"
"USGS",11046000,"1984-11-25",0,"A"
"USGS",11046000,"1984-11-26",0,"A"
"USGS",11046000,"1984-11-27",0,"A"
"USGS",11046000,"1984-11-28",0,"A"
"USGS",11046000,"1984-11-29",0,"A"
"USGS",11046000,"1984-11-30",0,"A"
"USGS",11046000,"1984-12-01",0,"A"
"USGS",11046000,"1984-12-02",0,"A"
"USGS",11046000,"1984-12-03",0,"A"
"USGS",11046000,"1984-12-04",0,"A"
"USGS",11046000,"1984-12-05",0,"A"
"USGS",11046000,"1984-12-06",0,"A"
"USGS",11046000,"1984-12-07",0,"A"
"USGS",11046000,"1984-12-08",0,"A"
"USGS",11046000,"1984-12-09",0,"A"
"USGS",11046000,"1984-12-10",0,"A"
"USGS",11046000,"1984-12-11",0,"A"
"USGS",11046000,"1984-12-12",0,"A"
"USGS",11046000,"1984-12-13",0,"A"
"USGS",11046000,"1984-12-14",0,"A"
"USGS",11046000,"1984-12-15",0,"A"
"USGS",11046000,"1984-12-16",12,"A"
"USGS",11046000,"1984-12-17",18,"A"
"USGS",11046000,"1984-12-18",31,"A"
"USGS",11046000,"1984-12-19",217,"A"
"USGS",11046000,"1984-12-20",413,"A"
"USGS",11046000,"1984-12-21",119,"A"
"USGS",11046000,"1984-12-22",52,"A"
"USGS",11046000,"1984-12-23",38,"A"
"USGS",11046000,"1984-12-24",38,"A"
"USGS",11046000,"1984-12-25",35,"A"
"USGS",11046000,"1984-12-26",34,"A"
"USGS",11046000,"1984-12-27",104,"A"
"USGS",11046000,"1984-12-28",647,"A"
"USGS",11046000,"1984-12-29",130,"A"
"USGS",11046000,"1984-12-30",59,"A"
"USGS",11046000,"1984-12-31",44,"A"
"USGS",11046000,"1985-01-01",37,"A"
"USGS",11046000,"1985-01-02",25,"A"
"USGS",11046000,"1985-01-03",19,"A"
"USGS",11046000,"1985-01-04",21,"A"
"USGS",11046000,"1985-01-05",22,"A"
"USGS",11046000,"1985-01-06",23,"A"
"USGS",11046000,"1985-01-07",24,"A"
"USGS",11046000,"1985-01-08",29,"A"
"USGS",11046000,"1985-01-09",27,"A"
"USGS",11046000,"1985-01-10",28,"A"
"USGS",11046000,"1985-01-11",29,"A"
"USGS",11046000,"1985-01-12",28,"A"
"USGS",11046000,"1985-01-13",26,"A"
"USGS",11046000,"1985-01-14",25,"A"
"USGS",11046000,"1985-01-15",25,"A"
"USGS",11046000,"1985-01-16",24,"A"
"USGS",11046000,"1985-01-17",24,"A"
"USGS",11046000,"1985-01-18",23,"A"
"USGS",11046000,"1985-01-19",24,"A"
"USGS",11046000,"1985-01-20",23,"A"
"USGS",11046000,"1985-01-21",23,"A"
"USGS",11046000,"1985-01-22",23,"A"
"USGS",11046000,"1985-01-23",22,"A"
"USGS",11046000,"1985-01-24",21,"A"
"USGS",11046000,"1985-01-25",20,"A"
"USGS",11046000,"1985-01-26",20,"A"
"USGS",11046000,"1985-01-27",20,"A"
"USGS",11046000,"1985-01-28",21,"A"
"USGS",11046000,"1985-01-29",23,"A"
"USGS",11046000,"1985-01-30",23,"A"
"USGS",11046000,"1985-01-31",21,"A"
"USGS",11046000,"1985-02-01",23,"A"
"USGS",11046000,"1985-02-02",23,"A"
"USGS",11046000,"1985-02-03",27,"A"
"USGS",11046000,"1985-02-04",27,"A"
"USGS",11046000,"1985-02-05",27,"A"
"USGS",11046000,"1985-02-06",26,"A"
"USGS",11046000,"1985-02-07",25,"A"
"USGS",11046000,"1985-02-08",25,"A"
"USGS",11046000,"1985-02-09",164,"A"
"USGS",11046000,"1985-02-10",165,"A"
"USGS",11046000,"1985-02-11",53,"A"
"USGS",11046000,"1985-02-12",39,"A"
"USGS",11046000,"1985-02-13",37,"A"
"USGS",11046000,"1985-02-14",36,"A"
"USGS",11046000,"1985-02-15",35,"A"
"USGS",11046000,"1985-02-16",33,"A"
"USGS",11046000,"1985-02-17",32,"A"
"USGS",11046000,"1985-02-18",34,"A"
"USGS",11046000,"1985-02-19",36,"A"
"USGS",11046000,"1985-02-20",32,"A"
"USGS",11046000,"1985-02-21",32,"A"
"USGS",11046000,"1985-02-22",29,"A"
"USGS",11046000,"1985-02-23",29,"A"
"USGS",11046000,"1985-02-24",29,"A"
"USGS",11046000,"1985-02-25",31,"A"
"USGS",11046000,"1985-02-26",28,"A"
"USGS",11046000,"1985-02-27",32,"A"
"USGS",11046000,"1985-02-28",28,"A"
"USGS",11046000,"1985-03-01",25,"A"
"USGS",11046000,"1985-03-02",30,"A"
"USGS",11046000,"1985-03-03",27,"A"
"USGS",11046000,"1985-03-04",27,"A"
"USGS",11046000,"1985-03-05",28,"A"
"USGS",11046000,"1985-03-06",24,"A"
"USGS",11046000,"1985-03-07",26,"A"
"USGS",11046000,"1985-03-08",27,"A"
"USGS",11046000,"1985-03-09",24,"A"
"USGS",11046000,"1985-03-10",23,"A"
"USGS",11046000,"1985-03-11",24,"A"
"USGS",11046000,"1985-03-12",28,"A"
"USGS",11046000,"1985-03-13",23,"A"
"USGS",11046000,"1985-03-14",22,"A"
"USGS",11046000,"1985-03-15",22,"A"
"USGS",11046000,"1985-03-16",20,"A"
"USGS",11046000,"1985-03-17",21,"A"
"USGS",11046000,"1985-03-18",23,"A"
"USGS",11046000,"1985-03-19",21,"A"
"USGS",11046000,"1985-03-20",20,"A"
"USGS",11046000,"1985-03-21",23,"A"
"USGS",11046000,"1985-03-22",21,"A"
"USGS",11046000,"1985-03-23",21,"A"
"USGS",11046000,"1985-03-24",20,"A"
"USGS",11046000,"1985-03-25",20,"A"
"USGS",11046000,"1985-03-26",19,"A"
"USGS",11046000,"1985-03-27",21,"A"
"USGS",11046000,"1985-03-28",25,"A"
"USGS",11046000,"1985-03-29",25,"A"
"USGS",11046000,"1985-03-30",23,"A"
"USGS",11046000,"1985-03-31",23,"A"
"USGS",11046000,"1985-04-01",23,"A"
"USGS",11046000,"1985-04-02",22,"A"
"USGS",11046000,"1985-04-03",20,"A"
"USGS",11046000,"1985-04-04",20,"A"
"USGS",11046000,"1985-04-05",19,"A"
"USGS",11046000,"1985-04-06",21,"A"
"USGS",11046000,"1985-04-07",23,"A"
"USGS",11046000,"1985-04-08",23,"A"
"USGS",11046000,"1985-04-09",22,"A"
"USGS",11046000,"1985-04-10",17,"A"
"USGS",11046000,"1985-04-11",14,"A"
"USGS",11046000,"1985-04-12",15,"A"
"USGS",11046000,"1985-04-13",14,"A"
"USGS",11046000,"1985-04-14",13,"A"
"USGS",11046000,"1985-04-15",12,"A"
"USGS",11046000,"1985-04-16",12,"A"
"USGS",11046000,"1985-04-17",12,"A"
"USGS",11046000,"1985-04-18",11,"A"
"USGS",11046000,"1985-04-19",11,"A"
"USGS",11046000,"1985-04-20",11,"A"
"USGS",11046000,"1985-04-21",13,"A"
"USGS",11046000,"1985-04-22",14,"A"
"USGS",11046000,"1985-04-23",13,"A"
"USGS",11046000,"1985-04-24",12,"A"
"USGS",11046000,"1985-04-25",9.6,"A"
"USGS",11046000,"1985-04-26",9.1,"A"
"USGS",11046000,"1985-04-27",7.4,"A"
"USGS",11046000,"1985-04-28",7.7,"A"
"USGS",11046000,"1985-04-29",6.8,"A"
"USGS",11046000,"1985-04-30",6.8,"A"
"USGS",11046000,"1985-05-01",9,"A"
"USGS",11046000,"1985-05-02",9.3,"A"
"USGS",11046000,"1985-05-03",13,"A"
"USGS",11046000,"1985-05-04",12,"A"
"USGS",11046000,"1985-05-05",14,"A"
"USGS",11046000,"1985-05-06",13,"A"
"USGS",11046000,"1985-05-07",11,"A"
"USGS",11046000,"1985-05-08",7.9,"A"
"USGS",11046000,"1985-05-09",7.8,"A"
"USGS",11046000,"1985-05-10",9.5,"A"
"USGS",11046000,"1985-05-11",10,"A"
"USGS",11046000,"1985-05-12",12,"A"
"USGS",11046000,"1985-05-13",10,"A"
"USGS",11046000,"1985-05-14",10,"A"
"USGS",11046000,"1985-05-15",13,"A"
"USGS",11046000,"1985-05-16",10,"A"
"USGS",11046000,"1985-05-17",6.6,"A"
"USGS",11046000,"1985-05-18",3.8,"A"
"USGS",11046000,"1985-05-19",2.4,"A"
"USGS",11046000,"1985-05-20",2.6,"A"
"USGS",11046000,"1985-05-21",7.3,"A"
"USGS",11046000,"1985-05-22",2.2,"A"
"USGS",11046000,"1985-05-23",0.38,"A"
"USGS",11046000,"1985-05-24",0.46,"A"
"USGS",11046000,"1985-05-25",0,"A"
"USGS",11046000,"1985-05-26",0,"A"
"USGS",11046000,"1985-05-27",0,"A"
"USGS",11046000,"1985-05-28",0,"A"
"USGS",11046000,"1985-05-29",0,"A"
"USGS",11046000,"1985-05-30",0,"A"
"USGS",11046000,"1985-05-31",0,"A"
"USGS",11046000,"1985-06-01",0,"A"
"USGS",11046000,"1985-06-02",0,"A"
"USGS",11046000,"1985-06-03",0,"A"
"USGS",11046000,"1985-06-04",0,"A"
"USGS",11046000,"1985-06-05",0,"A"
"USGS",11046000,"1985-06-06",0,"A"
"USGS",11046000,"1985-06-07",0,"A"
"USGS",11046000,"1985-06-08",0,"A"
"USGS",11046000,"1985-06-09",0,"A"
"USGS",11046000,"1985-06-10",0,"A"
"USGS",11046000,"1985-06-11",0,"A"
"USGS",11046000,"1985-06-12",0,"A"
"USGS",11046000,"1985-06-13",0,"A"
"USGS",11046000,"1985-06-14",0,"A"
"USGS",11046000,"1985-06-15",0,"A"
"USGS",11046000,"1985-06-16",0,"A"
"USGS",11046000,"1985-06-17",0,"A"
"USGS",11046000,"1985-06-18",0,"A"
"USGS",11046000,"1985-06-19",0,"A"
"USGS",11046000,"1985-06-20",0,"A"
"USGS",11046000,"1985-06-21",0,"A"
"USGS",11046000,"1985-06-22",0,"A"
"USGS",11046000,"1985-06-23",0,"A"
"USGS",11046000,"1985-06-24",0,"A"
"USGS",11046000,"1985-06-25",0,"A"
"USGS",11046000,"1985-06-26",0,"A"
"USGS",11046000,"1985-06-27",0,"A"
"USGS",11046000,"1985-06-28",0,"A"
"USGS",11046000,"1985-06-29",0,"A"
"USGS",11046000,"1985-06-30",0,"A"
"USGS",11046000,"1985-07-01",0,"A"
"USGS",11046000,"1985-07-02",0,"A"
"USGS",11046000,"1985-07-03",0,"A"
"USGS",11046000,"1985-07-04",0,"A"
"USGS",11046000,"1985-07-05",0,"A"
"USGS",11046000,"1985-07-06",0,"A"
"USGS",11046000,"1985-07-07",0,"A"
"USGS",11046000,"1985-07-08",0,"A"
"USGS",11046000,"1985-07-09",0,"A"
"USGS",11046000,"1985-07-10",0,"A"
"USGS",11046000,"1985-07-11",0,"A"
"USGS",11046000,"1985-07-12",0,"A"
"USGS",11046000,"1985-07-13",0,"A"
"USGS",11046000,"1985-07-14",0,"A"
"USGS",11046000,"1985-07-15",0,"A"
"USGS",11046000,"1985-07-16",0,"A"
"USGS",11046000,"1985-07-17",0,"A"
"USGS",11046000,"1985-07-18",0,"A"
"USGS",11046000,"1985-07-19",0,"A"
"USGS",11046000,"1985-07-20",0,"A"
"USGS",11046000,"1985-07-21",0,"A"
"USGS",11046000,"1985-07-22",0,"A"
"USGS",11046000,"1985-07-23",0,"A"
"USGS",11046000,"1985-07-24",0,"A"
"USGS",11046000,"1985-07-25",0,"A"
"USGS",11046000,"1985-07-26",0,"A"
"USGS",11046000,"1985-07-27",0,"A"
"USGS",11046000,"1985-07-28",0,"A"
"USGS",11046000,"1985-07-29",0,"A"
"USGS",11046000,"1985-07-30",0,"A"
"USGS",11046000,"1985-07-31",0,"A"
"USGS",11046000,"1985-08-01",0,"A"
"USGS",11046000,"1985-08-02",0,"A"
"USGS",11046000,"1985-08-03",0,"A"
"USGS",11046000,"1985-08-04",0,"A"
"USGS",11046000,"1985-08-05",0,"A"
"USGS",11046000,"1985-08-06",0,"A"
"USGS",11046000,"1985-08-07",0,"A"
"USGS",11046000,"1985-08-08",0,"A"
"USGS",11046000,"1985-08-09",0,"A"
"USGS",11046000,"1985-08-10",0,"A"
"USGS",11046000,"1985-08-11",0,"A"
"USGS",11046000,"1985-08-12",0,"A"
"USGS",11046000,"1985-08-13",0,"A"
"USGS",11046000,"1985-08-14",0,"A"
"USGS",11046000,"1985-08-15",0,"A"
"USGS",11046000,"1985-08-16",0,"A"
"USGS",11046000,"1985-08-17",0,"A"
"USGS",11046000,"1985-08-18",0,"A"
"USGS",11046000,"1985-08-19",0,"A"
"USGS",11046000,"1985-08-20",0,"A"
"USGS",11046000,"1985-08-21",0,"A"
"USGS",11046000,"1985-08-22",0,"A"
"USGS",11046000,"1985-08-23",0,"A"
